N|X|Y|D
1|0.00|0.00|0.00
2|0.20|0.00|0.20
3|0.40|0.00|0.40
4|0.60|0.00|0.60
5|0.80|0.00|0.80
6|1.00|0.00|1.00
7|1.20|0.00|1.20
8|1.40|0.00|1.40
9|1.60|0.00|1.60
10|1.80|0.00|1.80
11|2.00|0.00|2.00
12|2.20|0.00|2.20
13|2.40|0.00|2.40
14|2.60|0.00|2.60
15|2.80|0.00|2.80
16|3.00|0.00|3.00
17|3.20|0.00|3.20
18|3.40|0.00|3.40
19|3.60|0.00|3.60
20|3.80|0.00|3.80
21|0.00|0.20|0.20
22|0.20|0.20|0.28
23|0.40|0.20|0.45
24|0.60|0.20|0.63
25|0.80|0.20|0.82
26|1.00|0.20|1.02
27|1.20|0.20|1.22
28|1.40|0.20|1.41
29|1.60|0.20|1.61
30|1.80|0.20|1.81
31|2.00|0.20|2.01
32|2.20|0.20|2.21
33|2.40|0.20|2.41
34|2.60|0.20|2.61
35|2.80|0.20|2.81
36|3.00|0.20|3.01
37|3.20|0.20|3.21
38|3.40|0.20|3.41
39|3.60|0.20|3.61
40|3.80|0.20|3.81
41|0.00|0.40|0.40
42|0.20|0.40|0.45
43|0.40|0.40|0.57
44|0.60|0.40|0.72
45|0.80|0.40|0.89
46|1.00|0.40|1.08
47|1.20|0.40|1.26
48|1.40|0.40|1.46
49|1.60|0.40|1.65
50|1.80|0.40|1.84
51|2.00|0.40|2.04
52|2.20|0.40|2.24
53|2.40|0.40|2.43
54|2.60|0.40|2.63
55|2.80|0.40|2.83
56|3.00|0.40|3.03
57|3.20|0.40|3.22
58|3.40|0.40|3.42
59|3.60|0.40|3.62
60|3.80|0.40|3.82
61|0.00|0.60|0.60
62|0.20|0.60|0.63
63|0.40|0.60|0.72
64|0.60|0.60|0.85
65|0.80|0.60|1.00
66|1.00|0.60|1.17
67|1.20|0.60|1.34
68|1.40|0.60|1.52
69|1.60|0.60|1.71
70|1.80|0.60|1.90
71|2.00|0.60|2.09
72|2.20|0.60|2.28
73|2.40|0.60|2.47
74|2.60|0.60|2.67
75|2.80|0.60|2.86
76|3.00|0.60|3.06
77|3.20|0.60|3.26
78|3.40|0.60|3.45
79|3.60|0.60|3.65
80|3.80|0.60|3.85
81|0.00|0.80|0.80
82|0.20|0.80|0.82
83|0.40|0.80|0.89
84|0.60|0.80|1.00
85|0.80|0.80|1.13
86|1.00|0.80|1.28
87|1.20|0.80|1.44
88|1.40|0.80|1.61
89|1.60|0.80|1.79
90|1.80|0.80|1.97
91|2.00|0.80|2.15
92|2.20|0.80|2.34
93|2.40|0.80|2.53
94|2.60|0.80|2.72
95|2.80|0.80|2.91
96|3.00|0.80|3.10
97|3.20|0.80|3.30
98|3.40|0.80|3.49
99|3.60|0.80|3.69
100|3.80|0.80|3.88
101|0.00|1.00|1.00
102|0.20|1.00|1.02
103|0.40|1.00|1.08
104|0.60|1.00|1.17
105|0.80|1.00|1.28
106|1.00|1.00|1.41
107|1.20|1.00|1.56
108|1.40|1.00|1.72
109|1.60|1.00|1.89
110|1.80|1.00|2.06
111|2.00|1.00|2.24
112|2.20|1.00|2.42
113|2.40|1.00|2.60
114|2.60|1.00|2.79
115|2.80|1.00|2.97
116|3.00|1.00|3.16
117|3.20|1.00|3.35
118|3.40|1.00|3.54
119|3.60|1.00|3.74
120|3.80|1.00|3.93
121|0.00|1.20|1.20
122|0.20|1.20|1.22
123|0.40|1.20|1.26
124|0.60|1.20|1.34
125|0.80|1.20|1.44
126|1.00|1.20|1.56
127|1.20|1.20|1.70
128|1.40|1.20|1.84
129|1.60|1.20|2.00
130|1.80|1.20|2.16
131|2.00|1.20|2.33
