N|D1|D2|D3
1|2.7000|2.8284|1.3000
2|2.5000|2.6907|1.1000
3|2.3000|2.5612|0.9000
4|2.1000|2.4413|0.7000
5|1.9000|2.3324|0.5000
6|1.7000|2.2361|0.3000
7|1.5000|2.1541|0.1000
8|1.3000|2.0881|0.1000
9|1.1000|2.0396|0.3000
10|0.9000|2.0100|0.5000
11|0.7000|2.0000|0.7000
12|0.5000|2.0100|0.9000
13|0.3000|2.0396|1.1000
14|0.1000|2.0881|1.3000
15|0.1000|2.1541|1.5000
16|0.3000|2.2361|1.7000
17|0.5000|2.3324|1.9000
18|0.7000|2.4413|2.1000
19|0.9000|2.5612|2.3000
20|1.1000|2.6907|2.5000
21|2.7074|2.6907|1.3153
22|2.5080|2.5456|1.1180
23|2.3087|2.4083|0.9220
24|2.1095|2.2804|0.7280
25|1.9105|2.1633|0.5385
26|1.7117|2.0591|0.3606
27|1.5133|1.9698|0.2236
28|1.3153|1.8974|0.2236
29|1.1180|1.8439|0.3606
30|0.9220|1.8111|0.5385
31|0.7280|1.8000|0.7280
32|0.5385|1.8111|0.9220
33|0.3606|1.8439|1.1180
34|0.2236|1.8974|1.3153
35|0.2236|1.9698|1.5133
36|0.3606|2.0591|1.7117
37|0.5385|2.1633|1.9105
38|0.7280|2.2804|2.1095
39|0.9220|2.4083|2.3087
40|1.1180|2.5456|2.5080
41|2.7295|2.5612|1.3601
42|2.5318|2.4083|1.1705
43|2.3345|2.2627|0.9849
44|2.1378|2.1260|0.8062
45|1.9416|2.0000|0.6403
46|1.7464|1.8868|0.5000
47|1.5524|1.7889|0.4123
48|1.3601|1.7088|0.4123
49|1.1705|1.6492|0.5000
50|0.9849|1.6125|0.6403
51|0.8062|1.6000|0.8062
52|0.6403|1.6125|0.9849
53|0.5000|1.6492|1.1705
54|0.4123|1.7088|1.3601
55|0.4123|1.7889|1.5524
56|0.5000|1.8868|1.7464
57|0.6403|2.0000|1.9416
58|0.8062|2.1260|2.1378
59|0.9849|2.2627|2.3345
60|1.1705|2.4083|2.5318
61|2.7659|2.4413|1.4318
62|2.5710|2.2804|1.2530
63|2.3770|2.1260|1.0817
64|2.1840|1.9799|0.9220
65|1.9925|1.8439|0.7810
66|1.8028|1.7205|0.6708
67|1.6155|1.6125|0.6083
68|1.4318|1.5232|0.6083
69|1.2530|1.4560|0.6708
70|1.0817|1.4142|0.7810
71|0.9220|1.4000|0.9220
72|0.7810|1.4142|1.0817
73|0.6708|1.4560|1.2530
74|0.6083|1.5232|1.4318
75|0.6083|1.6125|1.6155
76|0.6708|1.7205|1.8028
77|0.7810|1.8439|1.9925
78|0.9220|1.9799|2.1840
79|1.0817|2.1260|2.3770
80|1.2530|2.2804|2.5710
81|2.8160|2.3324|1.5264
82|2.6249|2.1633|1.3601
83|2.4352|2.0000|1.2042
84|2.2472|1.8439|1.0630
85|2.0616|1.6971|0.9434
86|1.8788|1.5620|0.8544
87|1.7000|1.4422|0.8062
88|1.5264|1.3416|0.8062
89|1.3601|1.2649|0.8544
90|1.2042|1.2166|0.9434
91|1.0630|1.2000|1.0630
92|0.9434|1.2166|1.2042
93|0.8544|1.2649|1.3601
94|0.8062|1.3416|1.5264
95|0.8062|1.4422|1.7000
96|0.8544|1.5620|1.8788
97|0.9434|1.6971|2.0616
98|1.0630|1.8439|2.2472
99|1.2042|2.0000|2.4352
100|1.3601|2.1633|2.6249
101|2.8792|2.2361|1.6401
102|2.6926|2.0591|1.4866
103|2.5080|1.8868|1.3454
104|2.3259|1.7205|1.2207
105|2.1471|1.5620|1.1180
106|1.9723|1.4142|1.0440
107|1.8028|1.2806|1.0050
108|1.6401|1.1662|1.0050
109|1.4866|1.0770|1.0440
110|1.3454|1.0198|1.1180
111|1.2207|1.0000|1.2207
112|1.1180|1.0198|1.3454
113|1.0440|1.0770|1.4866
114|1.0050|1.1662|1.6401
115|1.0050|1.2806|1.8028
116|1.0440|1.4142|1.9723
117|1.1180|1.5620|2.1471
118|1.2207|1.7205|2.3259
119|1.3454|1.8868|2.5080
120|1.4866|2.0591|2.6926
121|2.9547|2.1541|1.7692
122|2.7731|1.9698|1.6279
123|2.5942|1.7889|1.5000
124|2.4187|1.6125|1.3892
125|2.2472|1.4422|1.3000
126|2.0809|1.2806|1.2369
127|1.9209|1.1314|1.2042
128|1.7692|1.0000|1.2042
129|1.6279|0.8944|1.2369
130|1.5000|0.8246|1.3000
131|1.3892|0.8000|1.3892
132|1.3000|0.8246|1.5000
133|1.2369|0.8944|1.6279
134|1.2042|1.0000|1.7692
